Rank of 3261,Local authority,Establishment,NO₂,Type,Phase
1649,Newham,Oliver Thomas Nursery School,35.3,LA Nursery School,Nursery
1648,Newham,Woodgrange Infant School,35.3,Community School,Primary
1647,Newham,Colegrave Primary School,35.3,Community School,Primary
1646,Newham,Scott Wilkie Primary School,35.3,Community School,Primary
1645,Newham,Vicarage Primary School,35.3,Community School,Primary
1630,Newham,Eastlea Community School,35.2,Community School,Secondary
1615,Newham,Earlham Primary School,35.1,Community School,Primary
1614,Newham,Grange Primary School,35.1,Community School,Primary
1613,Newham,Kaizen Primary School,35.1,Community School,Primary
1595,Newham,The Cumberland School,35,Community School,Secondary
1594,Newham,New Directions,35,Pupil Referral Unit,Not applicable
1543,Newham,St Edward's Catholic Primary School,34.7,Voluntary Aided School,Primary
1542,Newham,St Bonaventure's RC School,34.7,Voluntary Aided School,Secondary
1541,Newham,Brampton Manor Academy,34.7,Academy Converter,Secondary
1540,Newham,Oasis Academy Silvertown,34.7,Free Schools,Secondary
1503,Newham,Maryland Primary School,34.5,Community School,Primary
1502,Newham,Calverton Primary School,34.5,Community School,Primary
1501,Newham,Chobham Academy,34.5,Academy Sponsor Led,All Through
1475,Newham,Godwin Junior School,34.3,Community School,Primary
1474,Newham,Shaftesbury Primary School,34.3,Community School,Primary
1473,Newham,Portway Primary School,34.3,Community School,Primary
1457,Newham,Altmore Infant School,34.2,Community School,Primary
1456,Newham,New City Primary School,34.2,Community School,Primary
1436,Newham,St Helen's Catholic Primary School,34.1,Academy Converter,Primary
1417,Newham,Little Ilford School,34,Community School,Secondary
1397,Newham,Essex Primary School,33.9,Community School,Primary
1374,Newham,Park Primary School,33.8,Community School,Primary
1352,Newham,Central Park Primary School,33.7,Community School,Primary
1318,Newham,St Angela's Ursuline School,33.6,Voluntary Aided School,Secondary
1298,Newham,Winsor Primary School,33.5,Community School,Primary
1270,Newham,Brampton Primary School,33.4,Community School,Primary
1248,Newham,Elmhurst Primary School,33.3,Community School,Primary
1247,Newham,Lister Community School,33.3,Community School,Secondary
1246,Newham,Upton Cross Primary School,33.3,Academy Converter,Primary
1230,Newham,Southern Road Primary School,33.2,Community School,Primary
1210,Newham,Kensington Primary School,33.1,Community School,Primary
1209,Newham,Kingsford Community School,33.1,Community School,Secondary
1188,Newham,Sir John Heron Primary School,33,Community School,Primary
1169,Newham,Plaistow Primary School,32.9,Community School,Primary
1168,Newham,Jamiah Madaniyah Primary School,32.9,Other Independent School,Not applicable
1143,Newham,Cleves Primary School,32.8,Community School,Primary
1095,Newham,Monega Primary School,32.6,Community School,Primary
1075,Newham,Dersingham Primary School,32.5,Community School,Primary
1074,Newham,William Davies Primary School,32.5,Community School,Primary
1036,Newham,St Winefride's RC Primary School,32.3,Voluntary Aided School,Primary
3213,Redbridge,St Joseph's Convent School,56.30,Other Independent School,Not applicable
2746,Redbridge,Oakdale Junior School,42.7,Community School,Primary
2678,Redbridge,William Torbitt Primary School,41.8,Community School,Primary
2433,Redbridge,Winston Way Primary School,39.9,Community School,Primary
2182,Redbridge,Winston House Preparatory School,38.3,Other Independent School,Not applicable
2165,Redbridge,Our Lady of Lourdes RC Primary School,38.2,Voluntary Aided School,Primary
2129,Redbridge,Churchfields Infants' School,38,Community School,Primary
2032,Redbridge,Cranbrook,37.5,Other Independent School,Not applicable
2014,Redbridge,Beehive Preparatory School,37.4,Other Independent School,Not applicable
2013,Redbridge,The Ursuline Prep School Ilford,37.4,Other Independent School,Not applicable
1962,Redbridge,Wanstead High School,37.1,Community School,Secondary
1886,Redbridge,The Ursuline Academy Ilford,36.6,Academy Converter,Secondary
1834,Redbridge,Valentines High School,36.3,Community School,Secondary
1833,Redbridge,Stradbroke,36.3,Other Independent Special School,Not applicable
1770,Redbridge,Oakdale Infants' School,35.9,Community School,Primary
1730,Redbridge,Woodford County High School,35.7,Community School,Secondary
1706,Redbridge,The Palmer Catholic Academy,35.6,Academy Converter,Secondary
1629,Redbridge,Snaresbrook Preparatory School,35.2,Other Independent School,Not applicable
1539,Redbridge,St Aubyn's School,34.7,Other Independent School,Not applicable
1538,Redbridge,Highlands Primary School,34.7,Community School,Primary
1525,Redbridge,Apex Primary School,34.6,Other Independent School,Not applicable
1486,Redbridge,Wanstead Church School,34.4,Voluntary Aided School,Primary
1435,Redbridge,Eastcourt Independent School,34.1,Other Independent School,Not applicable
1416,Redbridge,Cranbrook Primary School,34,Community School,Primary
1415,Redbridge,Churchfields Junior School,34,Community School,Primary
1396,Redbridge,The John Barker Centre,33.9,Pupil Referral Unit,Not applicable
1351,Redbridge,Cleveland Junior School,33.7,Community School,Primary
1350,Redbridge,Cleveland Infants' School,33.7,Community School,Primary
1349,Redbridge,Uphall Primary School,33.7,Community School,Primary
1348,Redbridge,Snaresbrook Primary School,33.7,Community School,Primary
1317,Redbridge,St Augustine's Catholic Primary School,33.6,Voluntary Aided School,Primary
1316,Redbridge,Read Academy,33.6,Other Independent School,Not applicable
1269,Redbridge,Park School for Girls,33.4,Other Independent School,Not applicable
1142,Redbridge,SS Peter and Paul's Catholic Primary School,32.8,Voluntary Aided School,Primary
1141,Redbridge,Bancrofts School,32.8,Other Independent School,Not applicable
1140,Redbridge,Bancrofts Preparatory School,32.8,Other Independent School,Not applicable
1094,Redbridge,Fullwood Primary School,32.6,Community School,Primary
1073,Redbridge,Ilford Grammar School,32.5,Other Independent School,Not applicable
1035,Redbridge,Wohl Ilford Jewish Primary School,32.3,Voluntary Aided School,Primary
1005,Redbridge,Newbury Park Primary School,32.2,Community School,Primary
1004,Redbridge,Woodford Green Preparatory School,32.2,Other Independent School,Not applicable
984,Redbridge,Nightingale Primary School,32.1,Community School,Primary
983,Redbridge,Avon House School,32.1,Other Independent School,Not applicable
963,Redbridge,The New Rush Hall School,32,Community Special School,Not applicable
962,Redbridge,Hatton School and Special Needs Centre,32,Community Special School,Not applicable
961,Redbridge,Al-Noor Primary School,32,Other Independent School,Not applicable
941,Redbridge,Goodmayes Primary School,31.9,Community School,Primary
925,Redbridge,Little Heath School,31.8,Foundation Special School,Not applicable
909,Redbridge,Ad-Deen Primary School,31.7,Other Independent School,Not applicable
908,Redbridge,St Aidan's Catholic Primary School,31.7,Academy Converter,Primary
880,Redbridge,Aldersbrook Primary School,31.5,Community School,Primary
860,Redbridge,St Antony's Catholic Primary School,31.4,Voluntary Aided School,Primary
841,Redbridge,Wells Primary School,31.3,Community School,Primary
826,Redbridge,Chadwell Primary School,31.2,Community School,Primary
825,Redbridge,Beal High School,31.2,Academy Converter,Secondary
824,Redbridge,Beal Business Innovation Hub,31.2,Free Schools - Alternative Provision,Not applicable
790,Redbridge,Aldborough Primary School,31,Free Schools,Primary
765,Redbridge,Seven Kings School,30.9,Community School,All Through
745,Redbridge,Mayespark Primary School,30.8,Community School,Primary
744,Redbridge,Christchurch Primary School,30.8,Community School,Primary
725,Redbridge,Downshall Primary School,30.7,Community School,Primary
724,Redbridge,Gearies Primary School,30.7,Community School,Primary
723,Redbridge,Ark Isaac Newton Academy,30.7,Academy Sponsor Led,All Through
706,Redbridge,The Constance Bridgeman Centre,30.6,Pupil Referral Unit,Not applicable
705,Redbridge,Woodlands Primary School,30.6,Community School,Primary
704,Redbridge,Woodbridge High School,30.6,Community School,Secondary
703,Redbridge,Redbridge College,30.6,Further Education,16 Plus
702,Redbridge,Redbridge Tuition Service,30.6,Pupil Referral Unit,Not applicable
675,Redbridge,Barley Lane Primary School,30.5,Community School,Primary
674,Redbridge,King Solomon High School,30.5,Voluntary Aided School,Secondary
673,Redbridge,Redbridge Primary School,30.5,Community School,Primary
627,Redbridge,Ray Lodge Primary School,30.3,Community School,Primary
607,Redbridge,South Park Primary School,30.2,Community School,Primary
589,Redbridge,Loxford School of Science and Technology,30.1,Academy Converter,All Through
575,Redbridge,Gordon Infants' School,30,Community School,Primary
574,Redbridge,Grove Primary School,30,Community School,Primary
558,Redbridge,Ilford County High School,29.9,Community School,Secondary
528,Redbridge,Mossford Green Primary School,29.8,Community School,Primary
516,Redbridge,Roding Primary School,29.7,Community School,Primary
498,Redbridge,Glade Primary School,29.6,Community School,Primary
453,Redbridge,Mayfield School,29.4,Foundation School,Secondary
424,Redbridge,Parkhill Infants' School,29.2,Community School,Primary
423,Redbridge,Parkhill Junior School,29.2,Community School,Primary
407,Redbridge,Caterham High School,29.1,Community School,Secondary
325,Redbridge,Oaks Park High School,28.5,Community School,Secondary
324,Redbridge,Avanti Court Primary School,28.5,Voluntary Aided School,Primary
313,Redbridge,Newbridge School,28.4,Community Special School,Not applicable
290,Redbridge,Fairlop Primary School,28.3,Community School,Primary
289,Redbridge,Gilbert Colvin Primary School,28.3,Community School,Primary
288,Redbridge,Clore Tikva School,28.3,Voluntary Aided School,Primary
272,Redbridge,Trinity Catholic High School,28.2,Voluntary Aided School,Secondary
243,Redbridge,St Bede's Catholic Primary School,27.9,Voluntary Aided School,Primary
242,Redbridge,Chadwell Heath Academy,27.9,Academy Converter,Secondary
229,Redbridge,Farnham Green Primary School,27.8,Community School,Primary
131,Redbridge,Forest Academy,26.5,Academy Sponsor Led,Secondary
122,Redbridge,Manford Primary School,26.4,Community School,Primary
121,Redbridge,Early Years Assessment Service and Centre Co Manford Primary School,26.4,Miscellaneous,Not applicable
102,Redbridge,John Bramston Primary School,26,Community School,Primary
79,Redbridge,Coppice Primary School,25.7,Community School,Primary
3133,Richmond upon Thames,The Royal Ballet School,50.4,Other Independent School,Not applicable
2971,Richmond upon Thames,Richmond Adult Community College,45.9,Further Education,16 Plus
2858,Richmond upon Thames,Deer Park School,44.2,Free Schools,Primary
2791,Richmond upon Thames,St Stephen's Church of England Primary School Richmond,43.3,Voluntary Aided School,Primary
2677,Richmond upon Thames,East Sheen Primary School,41.8,Community School,Primary
2360,Richmond upon Thames,St Osmund's Catholic Primary School,39.4,Voluntary Aided School,Primary
2252,Richmond upon Thames,Windham Nursery School,38.7,LA Nursery School,Nursery
2196,Richmond upon Thames,Twickenham Academy,38.4,Academy Sponsor Led,Secondary
2164,Richmond upon Thames,Marshgate Primary School,38.2,Community School,Primary
2144,Richmond upon Thames,The Swedish School,38.1,Other Independent School,Not applicable
2072,Richmond upon Thames,The Old Vicarage School,37.7,Other Independent School,Not applicable
2031,Richmond upon Thames,Darell Primary and Nursery School,37.5,Community School,Primary
2030,Richmond upon Thames,Kew College,37.5,Other Independent School,Not applicable
1950,Richmond upon Thames,Thomson House School,37,Free Schools,Primary
1885,Richmond upon Thames,St Paul's School,36.6,Other Independent School,Not applicable
1832,Richmond upon Thames,Lowther Primary School,36.3,Community School,Primary
1831,Richmond upon Thames,Broomfield House School,36.3,Other Independent School,Not applicable
1830,Richmond upon Thames,Gems Twickenham Academy Primary,36.3,Free Schools,Primary
1803,Richmond upon Thames,The Harrodian School,36.1,Other Independent School,Not applicable
1769,Richmond upon Thames,Kew Riverside Primary School,35.9,Community School,Primary
1729,Richmond upon Thames,St Mary Magdalen's Catholic Primary School,35.7,Voluntary Aided School,Primary
1667,Richmond upon Thames,The Queen's Church of England Primary School,35.4,Voluntary Aided School,Primary
1666,Richmond upon Thames,Unicorn School,35.4,Other Independent School,Not applicable
1665,Richmond upon Thames,Turing House School,35.4,Free Schools,Secondary
1628,Richmond upon Thames,St Catherine's School,35.2,Other Independent School,Not applicable
1578,Richmond upon Thames,Kew Green Preparatory School,34.9,Other Independent School,Not applicable
1559,Richmond upon Thames,Holy Trinity Church of England Primary School,34.8,Voluntary Aided School,Primary
1537,Richmond upon Thames,Christ's Church of England Comprehensive Secondary School,34.7,Voluntary Aided School,Secondary
1524,Richmond upon Thames,The Mall School,34.6,Other Independent School,Not applicable
1485,Richmond upon Thames,Radnor House,34.4,Other Independent School,Not applicable
1455,Richmond upon Thames,Barnes Primary School,34.2,Community School,Primary
1454,Richmond upon Thames,St Elizabeth's Catholic Primary School,34.2,Voluntary Aided School,Primary
1434,Richmond upon Thames,Stanley Primary School,34.1,Community School,Primary
1433,Richmond upon Thames,Chase Bridge Primary School,34.1,Community School,Primary
1432,Richmond upon Thames,Tower House School,34.1,Other Independent School,Not applicable
1431,Richmond upon Thames,Orleans Park School,34.1,Academy Converter,Secondary
1373,Richmond upon Thames,Archdeacon Cambridge's Church of England Primary School,33.8,Voluntary Aided School,Primary
1372,Richmond upon Thames,Richmond-upon-Thames College,33.8,Further Education,16 Plus
1347,Richmond upon Thames,The Russell Primary School,33.7,Community School,Primary
1229,Richmond upon Thames,St Mary's Church of England Primary School,33.2,Voluntary Aided School,Primary
1167,Richmond upon Thames,St Edmund's Catholic Primary School,32.9,Voluntary Aided School,Primary
1139,Richmond upon Thames,Orleans Primary School,32.8,Community School,Primary
1121,Richmond upon Thames,Sheen Mount Primary School,32.7,Community School,Primary
1120,Richmond upon Thames,Richmond Park Academy,32.7,Academy Sponsor Led,Secondary
1093,Richmond upon Thames,Bishop Perrin Church of England Primary School,32.6,Voluntary Aided School,Primary
1072,Richmond upon Thames,The Vineyard School,32.5,Community School,Primary
1071,Richmond upon Thames,King's House School,32.5,Other Independent School,Not applicable
1034,Richmond upon Thames,St Richard's Church of England Primary School,32.3,Voluntary Aided School,Primary
1033,Richmond upon Thames,The German School,32.3,Other Independent School,Not applicable
1003,Richmond upon Thames,St Richard Reynolds Catholic High School,32.2,Voluntary Aided School,Secondary
1002,Richmond upon Thames,St Richard Reynolds Catholic Primary School,32.2,Voluntary Aided School,Primary
1001,Richmond upon Thames,Nelson Primary School,32.2,Academy Sponsor Led,Primary
960,Richmond upon Thames,"St Mary's University, Twickenham",32,Higher Education Institutions,Not applicable
940,Richmond upon Thames,Meadlands Primary School,31.9,Community School,Primary
907,Richmond upon Thames,St Mary's and St Peter's Church of England Primary School,31.7,Voluntary Aided School,Primary
879,Richmond upon Thames,Trafalgar Junior School,31.5,Community School,Primary
859,Richmond upon Thames,Hampton Hill Junior School,31.4,Community School,Primary
803,Richmond upon Thames,Carlisle Infant School,31.1,Community School,Primary
789,Richmond upon Thames,Waldegrave School,31,Academy Converter,Secondary
788,Richmond upon Thames,Grey Court School,31,Academy Converter,Secondary
764,Richmond upon Thames,Trafalgar Infant School,30.9,Community School,Primary
763,Richmond upon Thames,Clarendon School,30.9,Community Special School,Not applicable
743,Richmond upon Thames,St James's Roman Catholic Primary School,30.8,Voluntary Aided School,Primary
742,Richmond upon Thames,Twickenham Preparatory School,30.8,Other Independent School,Not applicable
701,Richmond upon Thames,Strathmore School,30.6,Community Special School,Not applicable
672,Richmond upon Thames,Heathfield Junior School,30.5,Community School,Primary
671,Richmond upon Thames,Heathfield Infant School,30.5,Community School,Primary
651,Richmond upon Thames,Hampton Wick Infant and Nursery School,30.4,Community School,Primary
650,Richmond upon Thames,Newland House School,30.4,Other Independent School,Not applicable
626,Richmond upon Thames,St John the Baptist Church of England Junior School,30.3,Voluntary Aided School,Primary
606,Richmond upon Thames,Hampton Junior School,30.2,Community School,Primary
605,Richmond upon Thames,Sacred Heart Roman Catholic Primary School,30.2,Voluntary Aided School,Primary
573,Richmond upon Thames,Teddington School,30,Academy Converter,Secondary
557,Richmond upon Thames,Hampton Academy,29.9,Academy Sponsor Led,Secondary
556,Richmond upon Thames,St Mary's Hampton Church of England Primary,29.9,Free Schools,Primary
515,Richmond upon Thames,Athelstan House School,29.7,Other Independent School,Not applicable
473,Richmond upon Thames,Collis Primary School,29.5,Community School,Primary
422,Richmond upon Thames,Jack and Jill School,29.2,Other Independent School,Not applicable
421,Richmond upon Thames,Hampton School,29.2,Other Independent School,Not applicable
406,Richmond upon Thames,Hampton Infant School and Nursery,29.1,Community School,Primary
405,Richmond upon Thames,The Lady Eleanor Holles School,29.1,Other Independent School,Not applicable
384,Richmond upon Thames,Buckingham Primary School,29,Community School,Primary
287,Richmond upon Thames,Hampton Court House,28.3,Other Independent School,Not applicable
3258,Southwark,London College of Printing & Distributive Trades,67.30,Miscellaneous,Not applicable
3251,Southwark,St George's Cathedral Catholic Primary School,64.30,Voluntary Aided School,Primary
3210,Southwark,Notre Dame Roman Catholic Girls' School,55.9,Voluntary Aided School,Secondary
3208,Southwark,St Jude's Church of England Primary School,55.6,Voluntary Aided School,Primary
3198,Southwark,Tower Bridge Primary School,55,Community School,Primary
3197,Southwark,St Saviour's and St Olave's Church of England School,54.9,Voluntary Aided School,Secondary
3187,Southwark,London Christian School,54.1,Other Independent School,Not applicable
3179,Southwark,"Saint Joseph's Catholic Primary School, the Borough",53.2,Voluntary Aided School,Primary
3176,Southwark,London South Bank University,53.1,Higher Education Institutions,Not applicable
3151,Southwark,The Cathedral School of St Saviour and St Mary Overy,51.4,Voluntary Aided School,Primary
3149,Southwark,Charlotte Sharman Primary School,51.1,Foundation School,Primary
3125,Southwark,Townsend Primary School,50.2,Community School,Primary
3122,Southwark,Grange Primary School,49.9,Community School,Primary
3114,Southwark,Victory School,49.7,Community School,Primary
3100,Southwark,Charles Dickens Primary School,49,Foundation School,Primary
3090,Southwark,Evelina Hospital School,48.8,Community Special School,Not applicable
3058,Southwark,St John's Walworth Church of England Primary School,47.8,Voluntary Aided School,Primary
3057,Southwark,Friars Primary Foundation School,47.8,Foundation School,Primary
3039,Southwark,The Hospital and Home Tuition Sick Children's Service,47.4,Miscellaneous,Not applicable
3001,Southwark,St James' Church of England Primary School,46.6,Voluntary Aided School,Primary
2984,Southwark,St Peter's Church of England Primary School,46.2,Voluntary Aided School,Primary
2976,Southwark,Albion Primary School,46,Community School,Primary
2970,Southwark,Harris Primary Free School Peckham,45.9,Free Schools,Primary
2965,Southwark,Beormund Primary School,45.8,Community Special School,Not applicable
2927,Southwark,St James the Great Roman Catholic Primary School,45.1,Voluntary Aided School,Primary
2921,Southwark,Camberwell College of Arts,45,Miscellaneous,Not applicable
2914,Southwark,Oliver Goldsmith Primary School,44.9,Community School,Primary
2913,Southwark,Highshore School,44.9,Community Special School,Not applicable
2892,Southwark,Ark All Saints Academy,44.6,Academy Sponsor Led,Secondary
2883,Southwark,Sacred Heart Catholic School,44.5,Academy Converter,Secondary
2875,Southwark,Nell Gwynn Nursery School,44.4,LA Nursery School,Nursery
2869,Southwark,Treasure House London Cic,44.3,Other Independent Special School,Not applicable
2850,Southwark,English Martyrs Roman Catholic Primary School,44.1,Voluntary Aided School,Primary
2844,Southwark,Phoenixplace,44,Other Independent Special School,Not applicable
2839,Southwark,Snowsfields Primary School,43.9,Community School,Primary
2818,Southwark,St Joseph's Roman Catholic Primary School,43.6,Voluntary Aided School,Primary
2803,Southwark,Ark Globe Academy,43.5,Academy Sponsor Led,All Through
2799,Southwark,Cherry Garden School,43.4,Community Special School,Not applicable
2798,Southwark,Bosco Centre College,43.4,Other Independent School,Not applicable
2790,Southwark,Ark Walworth Academy,43.3,Academy Sponsor Led,Secondary
2765,Southwark,Southwark Free School,42.9,Free Schools,Primary
2753,Southwark,Kintore Way Nursery School and Children's Centre,42.8,LA Nursery School,Nursery
2752,Southwark,John Donne Primary School,42.8,Academy Converter,Primary
2738,Southwark,Crampton School,42.6,Community School,Primary
2737,Southwark,Harris Academy Peckham,42.6,Academy Sponsor Led,Secondary
2735,Southwark,Rotherhithe Primary School,42.5,Community School,Primary
2734,Southwark,Phoenix Primary School,42.5,Community School,Primary
2733,Southwark,Cavendish School,42.5,Other Independent Special School,Not applicable
2711,Southwark,Keyworth Primary School,42.1,Community School,Primary
2710,Southwark,Boutcher Church of England Primary School,42.1,Voluntary Aided School,Primary
2676,Southwark,Ilderton Primary School,41.8,Community School,Primary
2666,Southwark,Comber Grove School,41.7,Community School,Primary
2665,Southwark,University Academy of Engineering South Bank,41.7,Academy Sponsor Led,Secondary
2655,Southwark,Pilgrims' Way Primary School,41.6,Community School,Primary
2654,Southwark,St Joseph's Catholic Primary School Southwark,41.6,Voluntary Aided School,Primary
2641,Southwark,Robert Browning Primary School,41.5,Community School,Primary
2616,Southwark,Goose Green Primary School,41.3,Academy Converter,Primary
2603,Southwark,John Ruskin Primary School and Language Classes,41.2,Community School,Primary
2602,Southwark,Surrey Square Primary School,41.2,Foundation School,Primary
2589,Southwark,St Joseph's Catholic Junior School,41.1,Voluntary Aided School,Primary
2588,Southwark,St Joseph's Catholic Infants School,41.1,Voluntary Aided School,Primary
2572,Southwark,Crawford Primary School,40.9,Community School,Primary
2571,Southwark,Southwark Inclusive Learning Service (Sils),40.9,Pupil Referral Unit,Not applicable
2546,Southwark,Michael Faraday School,40.7,Community School,Primary
2545,Southwark,Harris Academy Bermondsey,40.7,Academy Sponsor Led,Secondary
2522,Southwark,City of London Academy (Southwark),40.5,Academy Sponsor Led,Secondary
2508,Southwark,Spa School,40.4,Community Special School,Not applicable
2496,Southwark,Hollydale Primary School,40.3,Community School,Primary
2495,Southwark,"St Paul's Church of England Primary School, Walworth",40.3,Voluntary Aided School,Primary
2479,Southwark,St George's Church of England Primary School,40.2,Voluntary Aided School,Primary
2478,Southwark,Peter Hills with St Mary's and St Paul's CofE Primary School,40.2,Voluntary Aided School,Primary
2465,Southwark,Riverside Primary School,40.1,Community School,Primary
2425,Southwark,Dulwich Village Church of England Infants' School,39.8,Voluntary Aided School,Primary
2410,Southwark,Harris Boys' Academy East Dulwich,39.7,Academy Sponsor Led,Secondary
2397,Southwark,Sumner Nursery School,39.6,LA Nursery School,Nursery
2396,Southwark,Brunswick Park Primary School,39.6,Community School,Primary
2378,Southwark,St Francis RC Primary School,39.5,Voluntary Aided School,Primary
2347,Southwark,St Michael's Catholic College,39.3,Academy Converter,Secondary
2346,Southwark,Compass School Southwark,39.3,Free Schools,Secondary
2331,Southwark,Lyndhurst Primary School,39.2,Community School,Primary
2330,Southwark,Herne Hill School,39.2,Other Independent School,Not applicable
2298,Southwark,Dog Kennel Hill School,39,Community School,Primary
2297,Southwark,St Francesca Cabrini Primary School,39,Voluntary Aided School,Primary
2266,Southwark,James Allen's Girls' School,38.8,Other Independent School,Not applicable
2265,Southwark,The From Boyhood To Manhood Foundation,38.8,Other Independent School,Not applicable
2251,Southwark,The Villa,38.7,Other Independent School,Not applicable
2232,Southwark,Grove Children & Family Centre,38.6,LA Nursery School,Nursery
2231,Southwark,Rye Oak Primary School,38.6,Community School,Primary
2181,Southwark,Camelot Primary School,38.3,Community School,Primary
2180,Southwark,Cobourg Primary School,38.3,Community School,Primary
2179,Southwark,St Anthony's Catholic Primary School,38.3,Voluntary Aided School,Primary
2128,Southwark,Angel Oak Academy,38,Academy Sponsor Led,Primary
2108,Southwark,St Mary Magdalene Church of England Primary School,37.9,Voluntary Aided School,Primary
2107,Southwark,Haymerle School,37.9,Community Special School,Not applicable
2071,Southwark,Tuke School,37.7,Community Special School,Not applicable
2057,Southwark,Southwark Park School,37.6,Community School,Primary
2056,Southwark,Harris Primary Academy Peckham Park,37.6,Academy Converter,Primary
2055,Southwark,Judith Kerr Primary School,37.6,Free Schools,Primary
1993,Southwark,Alleyn's School,37.3,Other Independent School,Not applicable
1992,Southwark,Dulwich Hamlet Junior School,37.3,Academy Converter,Primary
1980,Southwark,Bellenden Primary School,37.2,Community School,Primary
1961,Southwark,Alfred Salter Primary School,37.1,Community School,Primary
1884,Southwark,The St Thomas the Apostle College,36.6,Voluntary Aided School,Secondary
1883,Southwark,The Charter School,36.6,Academy Converter,Secondary
1864,Southwark,St John's Roman Catholic Primary School,36.5,Voluntary Aided School,Primary
1863,Southwark,Dulwich College,36.5,Other Independent School,Not applicable
1829,Southwark,St Johns' and St Clements Church of England Primary School,36.3,Voluntary Aided School,Primary
1828,Southwark,St John's and St Clement's Primary School Co Hearing Impaired Unit,36.3,Miscellaneous,Not applicable
1827,Southwark,Bacon's College,36.3,Academy Sponsor Led,Secondary
1802,Southwark,Redriff Primary School,36.1,Academy Converter,Primary
1768,Southwark,The Belham Primary School,35.9,Free Schools,Primary
1693,Southwark,Heber Primary School,35.5,Community School,Primary
1644,Southwark,Newlands Academy,35.3,Academy Special Converter,Not applicable
1593,Southwark,Ivydale Primary School,35,Community School,Primary
1592,Southwark,Bessemer Grange Primary School,35,Community School,Primary
1577,Southwark,Harris Girls' Academy East Dulwich,34.9,Academy Sponsor Led,Secondary
1453,Southwark,Dulwich Prep London,34.2,Other Independent School,Not applicable
1430,Southwark,Goodrich Community Primary School,34.1,Community School,Primary
1395,Southwark,Harris Primary Academy East Dulwich,33.9,Free Schools,Primary
1371,Southwark,Kingsdale Foundation School,33.8,Academy Converter,Secondary
1346,Southwark,Small Acres,33.7,Other Independent School,Not applicable
1297,Southwark,Dulwich Wood Nursery School,33.5,LA Nursery School,Nursery
1268,Southwark,Dulwich Wood Primary School,33.4,Community School,Primary
312,Southwark,Bethlem and Maudsley Hospital School,28.4,Community Special School,Not applicable
2296,Sutton,Orchard Hill College of Further Education,39,Miscellaneous,Not applicable
1934,Sutton,Sutton College of Learning for Adults,36.9,Miscellaneous,Not applicable
1664,Sutton,All Saints Carshalton Church of England Primary School,35.4,Voluntary Aided School,Primary
1627,Sutton,Link Primary School,35.2,Non-Maintained Special School,Not applicable
1626,Sutton,Link Secondary School,35.2,Non-Maintained Special School,Not applicable
1576,Sutton,Sherwood Park School,34.9,Community Special School,Not applicable
1558,Sutton,St Mary's RC Junior School,34.8,Voluntary Aided School,Primary
1536,Sutton,Wallington County Grammar School,34.7,Academy Converter,Secondary
1472,Sutton,Beddington Infants' School,34.3,Community School,Primary
1471,Sutton,Collingwood School,34.3,Other Independent School,Not applicable
1429,Sutton,Cheam Common Infants' School,34.1,Community School,Primary
1414,Sutton,Sutton High School,34,Other Independent School,Not applicable
1394,Sutton,Cheam Common Junior School,33.9,Community School,Primary
1393,Sutton,Cheam Common Junior School,33.9,Academy Sponsor Led,Primary
1370,Sutton,St Cecilia's Catholic Primary School,33.8,Voluntary Aided School,Primary
1138,Sutton,Wallington High School for Girls,32.8,Academy Converter,Secondary
1137,Sutton,Harris Junior Academy Carshalton,32.8,Academy Sponsor Led,Primary
1092,Sutton,Bandon Hill Primary School,32.6,Community School,Primary
1091,Sutton,Glenthorne High School,32.6,Academy Converter,Secondary
1056,Sutton,Stanley Park Junior School,32.4,Foundation School,Primary
1055,Sutton,Stanley Park Infants' School,32.4,Foundation School,Primary
1032,Sutton,Hackbridge Primary School,32.3,Community School,Primary
1000,Sutton,Carshalton College,32.2,Further Education,16 Plus
999,Sutton,Green Wrythe Lane Primary School,32.2,Academy Sponsor Led,Primary
959,Sutton,Eagle House School Sutton,32,Other Independent Special School,Not applicable
939,Sutton,Muschamp Primary School and Language Opportunity Base,31.9,Community School,Primary
938,Sutton,Beddington Park Primary School,31.9,Academy Converter,Primary
924,Sutton,Victor Seymour Infants' School,31.8,Community School,Primary
906,Sutton,Westbourne Primary School,31.7,Academy Converter,Primary
878,Sutton,St Mary's RC Infants School,31.5,Voluntary Aided School,Primary
877,Sutton,Tweeddale Primary School,31.5,Community School,Primary
876,Sutton,Wandle Valley School,31.5,Academy Special Converter,Not applicable
858,Sutton,Robin Hood Junior School,31.4,Community School,Primary
823,Sutton,Holy Trinity CofE Junior School,31.2,Voluntary Aided School,Primary
802,Sutton,High View Primary School,31.1,Community School,Primary
787,Sutton,Carshalton High School for Girls,31,Academy Converter,Secondary
762,Sutton,St Philomena's School,30.9,Voluntary Aided School,Secondary
722,Sutton,Rushy Meadow Primary School,30.7,Community School,Primary
721,Sutton,Carshalton Boys Sports College,30.7,Academy Converter,Secondary
700,Sutton,Spencer Nursery School,30.6,LA Nursery School,Nursery
699,Sutton,All Saints Benhilton CofE Primary School,30.6,Voluntary Aided School,Primary
698,Sutton,Culvers House Primary School,30.6,Community School,Primary
697,Sutton,Cheam Park Farm Infants School,30.6,Academy Converter,Primary
670,Sutton,Abbey Primary School,30.5,Community School,Primary
669,Sutton,Brookfield Primary School,30.5,Community School,Primary
